tractate,chapter,halakhah,words
Jerusalem_Talmud_Sanhedrin,4,4,76
Jerusalem_Talmud_Sanhedrin,4,5,52
Jerusalem_Talmud_Sanhedrin,4,6,232
Jerusalem_Talmud_Sanhedrin,4,7,287
Jerusalem_Talmud_Sanhedrin,4,8,140
Jerusalem_Talmud_Sanhedrin,4,9,504
Jerusalem_Talmud_Sanhedrin,5,1,476
Jerusalem_Talmud_Sanhedrin,5,2,392
Jerusalem_Talmud_Sanhedrin,5,3,346
Jerusalem_Talmud_Sanhedrin,5,4,196
Jerusalem_Talmud_Sanhedrin,5,5,299
Jerusalem_Talmud_Sanhedrin,6,1,247
Jerusalem_Talmud_Sanhedrin,6,2,77
Jerusalem_Talmud_Sanhedrin,6,3,651
Jerusalem_Talmud_Sanhedrin,6,4,93
Jerusalem_Talmud_Sanhedrin,6,5,170
Jerusalem_Talmud_Sanhedrin,6,6,603
Jerusalem_Talmud_Sanhedrin,6,7,679
Jerusalem_Talmud_Sanhedrin,6,8,71
Jerusalem_Talmud_Sanhedrin,6,9,176
Jerusalem_Talmud_Sanhedrin,6,10,209
Jerusalem_Talmud_Sanhedrin,7,1,377
Jerusalem_Talmud_Sanhedrin,7,2,279
Jerusalem_Talmud_Sanhedrin,7,3,128
Jerusalem_Talmud_Sanhedrin,7,4,131
Jerusalem_Talmud_Sanhedrin,7,5,1038
Jerusalem_Talmud_Sanhedrin,7,6,692
Jerusalem_Talmud_Sanhedrin,7,7,554
Jerusalem_Talmud_Sanhedrin,7,8,532
Jerusalem_Talmud_Sanhedrin,7,9,572
Jerusalem_Talmud_Sanhedrin,7,10,805
Jerusalem_Talmud_Sanhedrin,7,11,316
Jerusalem_Talmud_Sanhedrin,7,12,256
Jerusalem_Talmud_Sanhedrin,7,13,681
Jerusalem_Talmud_Sanhedrin,8,1,215
Jerusalem_Talmud_Sanhedrin,8,2,321
Jerusalem_Talmud_Sanhedrin,8,3,203
Jerusalem_Talmud_Sanhedrin,8,4,69
Jerusalem_Talmud_Sanhedrin,8,5,146
Jerusalem_Talmud_Sanhedrin,8,6,454
Jerusalem_Talmud_Sanhedrin,8,7,153
Jerusalem_Talmud_Sanhedrin,8,8,252
Jerusalem_Talmud_Sanhedrin,8,9,223
Jerusalem_Talmud_Sanhedrin,9,1,872
Jerusalem_Talmud_Sanhedrin,9,2,178
Jerusalem_Talmud_Sanhedrin,9,3,422
Jerusalem_Talmud_Sanhedrin,9,4,250
Jerusalem_Talmud_Sanhedrin,9,5,137
Jerusalem_Talmud_Sanhedrin,9,6,213
Jerusalem_Talmud_Sanhedrin,9,7,173
Jerusalem_Talmud_Sanhedrin,10,1,2296
Jerusalem_Talmud_Sanhedrin,10,2,3881
Jerusalem_Talmud_Sanhedrin,10,3,300
Jerusalem_Talmud_Sanhedrin,10,4,314
Jerusalem_Talmud_Sanhedrin,10,5,478
Jerusalem_Talmud_Sanhedrin,10,6,154
Jerusalem_Talmud_Sanhedrin,10,7,202
Jerusalem_Talmud_Sanhedrin,10,8,348
Jerusalem_Talmud_Sanhedrin,11,1,113
Jerusalem_Talmud_Sanhedrin,11,2,239
Jerusalem_Talmud_Sanhedrin,11,3,413
Jerusalem_Talmud_Sanhedrin,11,4,494
Jerusalem_Talmud_Sanhedrin,11,5,991
Jerusalem_Talmud_Sanhedrin,11,6,296
Jerusalem_Talmud_Sanhedrin,,,40941
Jerusalem_Talmud_Sheviit,1,1,405
Jerusalem_Talmud_Sheviit,1,2,310
Jerusalem_Talmud_Sheviit,1,3,272
Jerusalem_Talmud_Sheviit,1,4,70
Jerusalem_Talmud_Sheviit,1,5,319
Jerusalem_Talmud_Sheviit,1,6,233
Jerusalem_Talmud_Sheviit,2,1,193
Jerusalem_Talmud_Sheviit,2,2,376
Jerusalem_Talmud_Sheviit,2,3,285
Jerusalem_Talmud_Sheviit,2,4,301
Jerusalem_Talmud_Sheviit,2,5,745
Jerusalem_Talmud_Sheviit,2,6,98
Jerusalem_Talmud_Sheviit,2,7,320
Jerusalem_Talmud_Sheviit,3,1,281
Jerusalem_Talmud_Sheviit,3,2,368
Jerusalem_Talmud_Sheviit,3,3,265
Jerusalem_Talmud_Sheviit,3,4,303
Jerusalem_Talmud_Sheviit,3,5,114
Jerusalem_Talmud_Sheviit,3,6,158
Jerusalem_Talmud_Sheviit,3,7,251
Jerusalem_Talmud_Sheviit,4,1,250
Jerusalem_Talmud_Sheviit,4,2,736
Jerusalem_Talmud_Sheviit,4,3,176
Jerusalem_Talmud_Sheviit,4,4,282
Jerusalem_Talmud_Sheviit,4,5,111
Jerusalem_Talmud_Sheviit,4,6,300
Jerusalem_Talmud_Sheviit,4,7,113
Jerusalem_Talmud_Sheviit,4,8,307
Jerusalem_Talmud_Sheviit,5,1,482
Jerusalem_Talmud_Sheviit,5,2,524
Jerusalem_Talmud_Sheviit,5,3,367
Jerusalem_Talmud_Sheviit,5,4,379
Jerusalem_Talmud_Sheviit,6,1,1860
Jerusalem_Talmud_Sheviit,6,2,187
Jerusalem_Talmud_Sheviit,6,3,329
Jerusalem_Talmud_Sheviit,6,4,396
Jerusalem_Talmud_Sheviit,7,1,1288
Jerusalem_Talmud_Sheviit,7,2,447
Jerusalem_Talmud_Sheviit,8,1,446
Jerusalem_Talmud_Sheviit,8,2,279
Jerusalem_Talmud_Sheviit,8,3,157
Jerusalem_Talmud_Sheviit,8,4,436
Jerusalem_Talmud_Sheviit,8,5,237
Jerusalem_Talmud_Sheviit,8,6,243
Jerusalem_Talmud_Sheviit,8,7,291
Jerusalem_Talmud_Sheviit,8,8,315
Jerusalem_Talmud_Sheviit,9,1,808
Jerusalem_Talmud_Sheviit,9,2,430
Jerusalem_Talmud_Sheviit,9,3,110
Jerusalem_Talmud_Sheviit,9,4,220
Jerusalem_Talmud_Sheviit,9,5,392
Jerusalem_Talmud_Sheviit,9,6,310
Jerusalem_Talmud_Sheviit,10,1,1066
Jerusalem_Talmud_Sheviit,10,2,330
Jerusalem_Talmud_Sheviit,10,3,561
Jerusalem_Talmud_Sheviit,10,4,356
Jerusalem_Talmud_Sheviit,,,21188
Jerusalem_Talmud_Moed_Katan,1,1,575
Jerusalem_Talmud_Moed_Katan,1,2,724
Jerusalem_Talmud_Moed_Katan,1,3,226
Jerusalem_Talmud_Moed_Katan,1,4,208
Jerusalem_Talmud_Moed_Katan,1,5,600
Jerusalem_Talmud_Moed_Katan,1,6,126
Jerusalem_Talmud_Moed_Katan,1,7,327
Jerusalem_Talmud_Moed_Katan,1,8,229
Jerusalem_Talmud_Moed_Katan,1,9,77
Jerusalem_Talmud_Moed_Katan,1,10,195
Jerusalem_Talmud_Moed_Katan,2,1,292
Jerusalem_Talmud_Moed_Katan,2,2,176
Jerusalem_Talmud_Moed_Katan,2,3,320
Jerusalem_Talmud_Moed_Katan,2,4,241
Jerusalem_Talmud_Moed_Katan,2,5,146
Jerusalem_Talmud_Moed_Katan,3,1,1623
Jerusalem_Talmud_Moed_Katan,3,2,158
Jerusalem_Talmud_Moed_Katan,3,3,121
Jerusalem_Talmud_Moed_Katan,3,4,210
Jerusalem_Talmud_Moed_Katan,3,5,3390
Jerusalem_Talmud_Moed_Katan,3,6,154
Jerusalem_Talmud_Moed_Katan,3,7,1677
Jerusalem_Talmud_Moed_Katan,3,8,506
Jerusalem_Talmud_Moed_Katan,3,9,144
Jerusalem_Talmud_Moed_Katan,,,12445
Jerusalem_Talmud_Horayot,1,1,831
Jerusalem_Talmud_Horayot,1,2,571
Jerusalem_Talmud_Horayot,1,3,305
Jerusalem_Talmud_Horayot,1,4,154
Jerusalem_Talmud_Horayot,1,5,110
Jerusalem_Talmud_Horayot,1,6,306
Jerusalem_Talmud_Horayot,1,7,155
Jerusalem_Talmud_Horayot,1,8,521
Jerusalem_Talmud_Horayot,2,1,209
Jerusalem_Talmud_Horayot,2,2,150
Jerusalem_Talmud_Horayot,2,3,164
Jerusalem_Talmud_Horayot,2,4,320
Jerusalem_Talmud_Horayot,2,5,406
Jerusalem_Talmud_Horayot,2,6,177
Jerusalem_Talmud_Horayot,2,7,374
Jerusalem_Talmud_Horayot,3,1,323
Jerusalem_Talmud_Horayot,3,2,2683
Jerusalem_Talmud_Horayot,3,3,430
Jerusalem_Talmud_Horayot,3,4,998
Jerusalem_Talmud_Horayot,3,5,1087
Jerusalem_Talmud_Horayot,,,10274
Jerusalem_Talmud_Kiddushin,1,1,2465
Jerusalem_Talmud_Kiddushin,1,2,2858
Jerusalem_Talmud_Kiddushin,1,3,1262
Jerusalem_Talmud_Kiddushin,1,4,1109
Jerusalem_Talmud_Kiddushin,1,5,1200
Jerusalem_Talmud_Kiddushin,1,6,568
Jerusalem_Talmud_Kiddushin,1,7,2239
Jerusalem_Talmud_Kiddushin,1,8,491
Jerusalem_Talmud_Kiddushin,1,9,640
Jerusalem_Talmud_Kiddushin,2,1,1717
Jerusalem_Talmud_Kiddushin,2,2,291
Jerusalem_Talmud_Kiddushin,2,3,81
Jerusalem_Talmud_Kiddushin,2,4,673
Jerusalem_Talmud_Kiddushin,2,5,227
Jerusalem_Talmud_Kiddushin,2,6,181
Jerusalem_Talmud_Kiddushin,2,7,652
Jerusalem_Talmud_Kiddushin,2,8,356
Jerusalem_Talmud_Kiddushin,2,9,268
Jerusalem_Talmud_Kiddushin,3,1,884
Jerusalem_Talmud_Kiddushin,3,2,650
Jerusalem_Talmud_Kiddushin,3,3,435
Jerusalem_Talmud_Kiddushin,3,4,391
Jerusalem_Talmud_Kiddushin,3,5,437
Jerusalem_Talmud_Kiddushin,3,6,268
Jerusalem_Talmud_Kiddushin,3,7,227
Jerusalem_Talmud_Kiddushin,3,8,280
Jerusalem_Talmud_Kiddushin,3,9,295
Jerusalem_Talmud_Kiddushin,3,10,97
Jerusalem_Talmud_Kiddushin,3,11,58
Jerusalem_Talmud_Kiddushin,3,12,1367
Jerusalem_Talmud_Kiddushin,3,13,235
Jerusalem_Talmud_Kiddushin,4,1,1853
Jerusalem_Talmud_Kiddushin,4,2,196
Jerusalem_Talmud_Kiddushin,4,3,342
Jerusalem_Talmud_Kiddushin,4,4,226
Jerusalem_Talmud_Kiddushin,4,5,132
Jerusalem_Talmud_Kiddushin,4,6,642
Jerusalem_Talmud_Kiddushin,4,7,227
Jerusalem_Talmud_Kiddushin,4,8,129
Jerusalem_Talmud_Kiddushin,4,9,103
Jerusalem_Talmud_Kiddushin,4,10,224
Jerusalem_Talmud_Kiddushin,4,11,708
Jerusalem_Talmud_Kiddushin,4,12,336
Jerusalem_Talmud_Kiddushin,,,28020
Jerusalem_Talmud_Bikkurim,1,1,469
Jerusalem_Talmud_Bikkurim,1,2,247
Jerusalem_Talmud_Bikkurim,1,3,400
Jerusalem_Talmud_Bikkurim,1,4,277
Jerusalem_Talmud_Bikkurim,1,5,690
Jerusalem_Talmud_Bikkurim,1,6,407
Jerusalem_Talmud_Bikkurim,1,7,237
Jerusalem_Talmud_Bikkurim,1,8,146
Jerusalem_Talmud_Bikkurim,1,9,110
Jerusalem_Talmud_Bikkurim,2,1,977
Jerusalem_Talmud_Bikkurim,2,2,693
Jerusalem_Talmud_Bikkurim,2,3,232
Jerusalem_Talmud_Bikkurim,2,4,228
Jerusalem_Talmud_Bikkurim,2,5,71
Jerusalem_Talmud_Bikkurim,2,6,323
Jerusalem_Talmud_Bikkurim,3,1,150
Jerusalem_Talmud_Bikkurim,3,2,81
Jerusalem_Talmud_Bikkurim,3,3,1055
Jerusalem_Talmud_Bikkurim,3,4,328
Jerusalem_Talmud_Bikkurim,3,5,153
Jerusalem_Talmud_Bikkurim,3,6,256
Jerusalem_Talmud_Bikkurim,,,7530
Jerusalem_Talmud_Demai,1,1,745
Jerusalem_Talmud_Demai,1,2,427
Jerusalem_Talmud_Demai,1,3,1312
Jerusalem_Talmud_Demai,1,4,311
Jerusalem_Talmud_Demai,2,1,1384
Jerusalem_Talmud_Demai,2,2,397
Jerusalem_Talmud_Demai,2,3,315
Jerusalem_Talmud_Demai,2,4,379
Jerusalem_Talmud_Demai,2,5,205
Jerusalem_Talmud_Demai,3,1,492
Jerusalem_Talmud_Demai,3,2,313
Jerusalem_Talmud_Demai,3,3,331
Jerusalem_Talmud_Demai,3,4,552
Jerusalem_Talmud_Demai,3,5,104
Jerusalem_Talmud_Demai,3,6,141
Jerusalem_Talmud_Demai,4,1,654
Jerusalem_Talmud_Demai,4,2,102
Jerusalem_Talmud_Demai,4,3,410
Jerusalem_Talmud_Demai,4,4,154
Jerusalem_Talmud_Demai,4,5,271
Jerusalem_Talmud_Demai,5,1,394
Jerusalem_Talmud_Demai,5,2,455
Jerusalem_Talmud_Demai,5,3,225
Jerusalem_Talmud_Demai,5,4,126
Jerusalem_Talmud_Demai,5,5,227
Jerusalem_Talmud_Demai,5,6,109
Jerusalem_Talmud_Demai,5,7,56
Jerusalem_Talmud_Demai,5,8,688
Jerusalem_Talmud_Demai,6,1,686
Jerusalem_Talmud_Demai,6,2,894
Jerusalem_Talmud_Demai,6,3,57
Jerusalem_Talmud_Demai,6,4,220
Jerusalem_Talmud_Demai,6,5,323
Jerusalem_Talmud_Demai,6,6,245
Jerusalem_Talmud_Demai,6,7,244
Jerusalem_Talmud_Demai,6,8,482
Jerusalem_Talmud_Demai,7,1,425
Jerusalem_Talmud_Demai,7,2,145
Jerusalem_Talmud_Demai,7,3,177
Jerusalem_Talmud_Demai,7,4,369
Jerusalem_Talmud_Demai,7,5,106
Jerusalem_Talmud_Demai,7,6,394
Jerusalem_Talmud_Demai,7,7,259
Jerusalem_Talmud_Demai,7,8,275
Jerusalem_Talmud_Demai,,,16580
Jerusalem_Talmud_Kilayim,1,1,485
Jerusalem_Talmud_Kilayim,1,2,213
Jerusalem_Talmud_Kilayim,1,3,50
Jerusalem_Talmud_Kilayim,1,4,236
Jerusalem_Talmud_Kilayim,1,5,65
Jerusalem_Talmud_Kilayim,1,6,222
Jerusalem_Talmud_Kilayim,1,7,406
Jerusalem_Talmud_Kilayim,1,8,96
Jerusalem_Talmud_Kilayim,1,9,534
Jerusalem_Talmud_Kilayim,2,1,594
Jerusalem_Talmud_Kilayim,2,2,165
Jerusalem_Talmud_Kilayim,2,3,511
Jerusalem_Talmud_Kilayim,2,4,189
Jerusalem_Talmud_Kilayim,2,5,330
Jerusalem_Talmud_Kilayim,2,6,433
Jerusalem_Talmud_Kilayim,2,7,97
Jerusalem_Talmud_Kilayim,2,8,507
Jerusalem_Talmud_Kilayim,3,1,576
Jerusalem_Talmud_Kilayim,3,2,319
Jerusalem_Talmud_Kilayim,3,3,282
Jerusalem_Talmud_Kilayim,3,4,362
Jerusalem_Talmud_Kilayim,3,5,145
Jerusalem_Talmud_Kilayim,3,6,301
Jerusalem_Talmud_Kilayim,4,1,568
Jerusalem_Talmud_Kilayim,4,2,612
Jerusalem_Talmud_Kilayim,4,3,161
Jerusalem_Talmud_Kilayim,4,4,132
Jerusalem_Talmud_Kilayim,4,5,125
Jerusalem_Talmud_Kilayim,4,6,394
Jerusalem_Talmud_Kilayim,5,1,385
Jerusalem_Talmud_Kilayim,5,2,186
Jerusalem_Talmud_Kilayim,5,3,337
Jerusalem_Talmud_Kilayim,5,4,141
Jerusalem_Talmud_Kilayim,5,5,136
Jerusalem_Talmud_Kilayim,5,6,255
Jerusalem_Talmud_Kilayim,5,7,164
Jerusalem_Talmud_Kilayim,6,1,485
Jerusalem_Talmud_Kilayim,6,2,368
Jerusalem_Talmud_Kilayim,6,3,309
Jerusalem_Talmud_Kilayim,6,4,503
Jerusalem_Talmud_Kilayim,7,1,261
Jerusalem_Talmud_Kilayim,7,2,261
Jerusalem_Talmud_Kilayim,7,3,389
Jerusalem_Talmud_Kilayim,7,4,98
Jerusalem_Talmud_Kilayim,7,5,92
Jerusalem_Talmud_Kilayim,7,6,208
Jerusalem_Talmud_Kilayim,8,1,884
Jerusalem_Talmud_Kilayim,8,2,274
Jerusalem_Talmud_Kilayim,8,3,386
Jerusalem_Talmud_Kilayim,8,4,323
Jerusalem_Talmud_Kilayim,9,1,925
Jerusalem_Talmud_Kilayim,9,2,242
Jerusalem_Talmud_Kilayim,9,3,1629
Jerusalem_Talmud_Kilayim,9,4,224
Jerusalem_Talmud_Kilayim,9,5,191
Jerusalem_Talmud_Kilayim,9,6,280
Jerusalem_Talmud_Kilayim,,,19046
Jerusalem_Talmud_Terumot,1,1,2077
Jerusalem_Talmud_Terumot,1,2,376
Jerusalem_Talmud_Terumot,1,3,144
Jerusalem_Talmud_Terumot,1,4,279
Jerusalem_Talmud_Terumot,1,5,670
Jerusalem_Talmud_Terumot,2,1,1675
Jerusalem_Talmud_Terumot,2,2,448
Jerusalem_Talmud_Terumot,2,3,317
Jerusalem_Talmud_Terumot,3,1,436
Jerusalem_Talmud_Terumot,3,2,447
Jerusalem_Talmud_Terumot,3,3,505
Jerusalem_Talmud_Terumot,3,4,141
Jerusalem_Talmud_Terumot,3,5,215
Jerusalem_Talmud_Terumot,4,1,331
Jerusalem_Talmud_Terumot,4,2,53
Jerusalem_Talmud_Terumot,4,3,419
Jerusalem_Talmud_Terumot,4,4,381
Jerusalem_Talmud_Terumot,4,5,52
Jerusalem_Talmud_Terumot,4,6,80
Jerusalem_Talmud_Terumot,4,7,674
Jerusalem_Talmud_Terumot,4,8,570
Jerusalem_Talmud_Terumot,5,1,889
Jerusalem_Talmud_Terumot,5,2,635
Jerusalem_Talmud_Terumot,5,3,329
Jerusalem_Talmud_Terumot,6,1,833
Jerusalem_Talmud_Terumot,6,2,352
Jerusalem_Talmud_Terumot,6,3,169
Jerusalem_Talmud_Terumot,7,1,1245
Jerusalem_Talmud_Terumot,7,2,302
Jerusalem_Talmud_Terumot,7,3,527
Jerusalem_Talmud_Terumot,8,1,1037
Jerusalem_Talmud_Terumot,8,2,125
Jerusalem_Talmud_Terumot,8,3,2103
Jerusalem_Talmud_Terumot,8,4,1575
Jerusalem_Talmud_Terumot,9,1,526
Jerusalem_Talmud_Terumot,9,2,389
Jerusalem_Talmud_Terumot,9,3,201
Jerusalem_Talmud_Terumot,10,1,365
Jerusalem_Talmud_Terumot,10,2,320
Jerusalem_Talmud_Terumot,10,3,146
Jerusalem_Talmud_Terumot,10,4,86
Jerusalem_Talmud_Terumot,10,5,276
Jerusalem_Talmud_Terumot,10,6,630
Jerusalem_Talmud_Terumot,11,1,284
Jerusalem_Talmud_Terumot,11,2,498
Jerusalem_Talmud_Terumot,11,3,309
Jerusalem_Talmud_Terumot,11,4,598
Jerusalem_Talmud_Terumot,11,5,845
Jerusalem_Talmud_Terumot,,,25884
Jerusalem_Talmud_Maaser,,,0
Jerusalem_Talmud_Maaser_Sheni,1,1,1475
Jerusalem_Talmud_Maaser_Sheni,1,2,609
Jerusalem_Talmud_Maaser_Sheni,1,3,473
Jerusalem_Talmud_Maaser_Sheni,2,1,1082
Jerusalem_Talmud_Maaser_Sheni,2,2,305
Jerusalem_Talmud_Maaser_Sheni,2,3,522
Jerusalem_Talmud_Maaser_Sheni,2,4,234
Jerusalem_Talmud_Maaser_Sheni,3,1,400
Jerusalem_Talmud_Maaser_Sheni,3,2,419
Jerusalem_Talmud_Maaser_Sheni,3,3,554
Jerusalem_Talmud_Maaser_Sheni,3,4,254
Jerusalem_Talmud_Maaser_Sheni,3,5,392
Jerusalem_Talmud_Maaser_Sheni,3,6,530
Jerusalem_Talmud_Maaser_Sheni,4,1,698
Jerusalem_Talmud_Maaser_Sheni,4,2,426
Jerusalem_Talmud_Maaser_Sheni,4,3,609
Jerusalem_Talmud_Maaser_Sheni,4,4,431
Jerusalem_Talmud_Maaser_Sheni,4,5,193
Jerusalem_Talmud_Maaser_Sheni,4,6,1086
Jerusalem_Talmud_Maaser_Sheni,5,1,652
Jerusalem_Talmud_Maaser_Sheni,5,2,1061
Jerusalem_Talmud_Maaser_Sheni,5,3,896
Jerusalem_Talmud_Maaser_Sheni,5,4,406
Jerusalem_Talmud_Maaser_Sheni,5,5,1071
Jerusalem_Talmud_Maaser_Sheni,,,14778
